Date,Open,High,Low,Close,Adj Close,Volume
2023-12-29,136.000000,136.389999,134.839996,135.419998,135.419998,63000
2024-01-02,134.699997,135.580002,132.940002,133.539993,133.539993,70100
2024-01-03,132.559998,132.880005,130.699997,130.699997,130.699997,92400
2024-01-04,131.360001,132.639999,131.210007,131.270004,131.270004,77900
2024-01-05,131.360001,131.839996,130.190002,130.869995,130.869995,150200
2024-01-08,129.250000,130.779999,128.000000,130.529999,130.529999,133300
2024-01-09,129.509995,129.570007,128.449997,129.139999,129.139999,161900
2024-01-10,130.000000,130.750000,129.809998,130.169998,130.169998,87500
2024-01-11,130.429993,130.429993,128.309998,129.460007,129.460007,61900
2024-01-12,130.119995,131.149994,129.720001,130.580002,130.580002,90200
2024-01-16,130.050003,130.070007,127.160004,127.620003,127.620003,98600
2024-01-17,126.970001,128.380005,126.559998,127.459999,127.459999,108300
2024-01-18,128.270004,129.169998,127.709999,129.089996,129.089996,47900
2024-01-19,129.940002,129.940002,128.470001,129.539993,129.539993,79500
2024-01-22,130.229996,131.309998,129.899994,131.119995,131.119995,64600
2024-01-23,131.940002,132.500000,130.690002,130.929993,130.929993,120200
2024-01-24,132.080002,132.490005,130.300003,130.520004,130.520004,86200
2024-01-25,130.490005,130.789993,128.490005,129.429993,129.429993,124200
2024-01-26,129.839996,130.910004,129.149994,129.669998,129.669998,83300
2024-01-29,129.949997,130.820007,129.449997,130.820007,130.820007,105100
2024-01-30,130.789993,130.789993,129.350006,129.860001,129.860001,130600
2024-01-31,130.169998,131.490005,129.210007,129.259995,129.259995,106000
2024-02-01,129.779999,130.289993,127.900002,130.229996,130.229996,74100
2024-02-02,129.509995,130.410004,129.179993,130.059998,130.059998,64200
2024-02-05,129.000000,129.570007,127.750000,129.110001,129.110001,86600
2024-02-06,129.119995,131.050003,128.960007,131.020004,131.020004,61100
2024-02-07,130.860001,131.580002,130.529999,130.929993,130.929993,62300
2024-02-08,131.309998,131.720001,130.860001,131.309998,131.309998,118300
2024-02-09,131.839996,132.759995,131.559998,132.750000,132.750000,54200
2024-02-12,132.860001,134.139999,132.860001,133.770004,133.770004,64600
2024-02-13,132.000000,132.759995,130.759995,131.770004,131.770004,68600
2024-02-14,133.429993,135.490005,133.429993,135.490005,135.490005,73800
2024-02-15,135.979996,136.699997,135.350006,136.460007,136.460007,72300
2024-02-16,136.139999,136.559998,135.419998,135.460007,135.460007,45200
2024-02-20,135.130005,135.779999,134.399994,134.570007,134.570007,80600
2024-02-21,134.360001,135.050003,134.070007,134.710007,134.710007,63000
2024-02-22,134.360001,135.100006,133.869995,134.449997,134.449997,23163
